TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_KEY	EXTRA
gateway_recording_log	server_ip	varchar		
gateway_recording_log	caller_id_number	varchar		
gateway_recording_log	caller_id_name	varchar		
gateway_recording_log	extension	varchar		
gateway_recording_log	start_time	datetime	MUL	
gateway_recording_log	end_time	datetime		
gateway_recording_log	length_in_sec	mediumint		
gateway_recording_log	filename	varchar		
gateway_recording_log	location	varchar		
groups_alias	group_alias_id	varchar	PRI	
groups_alias	group_alias_name	varchar		
groups_alias	caller_id_number	varchar		
groups_alias	caller_id_name	varchar		
groups_alias	active	enum		
groups_alias	user_group	varchar		
hci_logs	date	datetime	MUL	
hci_logs	user	varchar		
hci_logs	lead_id	int		
hci_logs	campaign_id	varchar		
help_documentation	help_id	varchar	PRI	
help_documentation	help_title	text		
help_documentation	help_text	text		
inbound_disabled_entries	interval_id	int	PRI	auto_increment
inbound_disabled_entries	start_datetime	datetime	MUL	
inbound_disabled_entries	end_datetime	datetime		
inbound_disabled_entries	location	varchar		
inbound_disabled_entries	message	varchar		
inbound_disabled_entries	message_type	enum		
inbound_disabled_entries	status	enum		
inbound_disabled_entries	user	varchar		
inbound_disabled_entries	modify_date	timestamp		on update current_timestamp()
inbound_disabled_entries	modified_by	varchar		
inbound_disabled_entries	holiday_id	varchar		
inbound_email_attachments	attachment_id	int	PRI	auto_increment
inbound_email_attachments	email_row_id	int	MUL	
inbound_email_attachments	filename	varchar		
inbound_email_attachments	file_type	varchar		
inbound_email_attachments	file_encoding	varchar		
inbound_email_attachments	file_size	varchar		
inbound_email_attachments	file_extension	varchar		
inbound_email_attachments	file_contents	longblob		
inbound_numbers	extension	varchar		
inbound_numbers	full_number	varchar		
inbound_numbers	server_ip	varchar		
inbound_numbers	inbound_name	varchar		
inbound_numbers	department	varchar		
leave_vm_message_groups	leave_vm_message_group_id	varchar	PRI	
leave_vm_message_groups	leave_vm_message_group_notes	varchar		
leave_vm_message_groups	active	enum		
leave_vm_message_groups	user_group	varchar		
leave_vm_message_groups_entries	leave_vm_message_group_id	varchar		
leave_vm_message_groups_entries	audio_filename	varchar		
leave_vm_message_groups_entries	audio_name	varchar		
leave_vm_message_groups_entries	rank	smallint		
leave_vm_message_groups_entries	time_start	varchar		
leave_vm_message_groups_entries	time_end	varchar		
live_channels	channel	varchar		
live_channels	server_ip	varchar		
live_channels	channel_group	varchar		
live_channels	extension	varchar		
live_channels	channel_data	varchar		
live_inbound	uniqueid	varchar		
live_inbound	channel	varchar		
live_inbound	server_ip	varchar		
live_inbound	caller_id	varchar		
live_inbound	extension	varchar		
live_inbound	phone_ext	varchar		
live_inbound	start_time	datetime		
live_inbound	acknowledged	enum		
live_inbound	inbound_number	varchar		
live_inbound	comment_a	varchar		
live_inbound	comment_b	varchar		
live_inbound	comment_c	varchar		
live_inbound	comment_d	varchar		
live_inbound	comment_e	varchar		
live_inbound_log	uniqueid	varchar	MUL	
live_inbound_log	channel	varchar		
live_inbound_log	server_ip	varchar		
live_inbound_log	caller_id	varchar		
live_inbound_log	extension	varchar		
live_inbound_log	phone_ext	varchar	MUL	
live_inbound_log	start_time	datetime	MUL	
live_inbound_log	acknowledged	enum		
live_inbound_log	inbound_number	varchar		
live_inbound_log	comment_a	varchar	MUL	
live_inbound_log	comment_b	varchar		
live_inbound_log	comment_c	varchar		
live_inbound_log	comment_d	varchar		
live_inbound_log	comment_e	varchar		
live_sip_channels	channel	varchar		
live_sip_channels	server_ip	varchar		
live_sip_channels	channel_group	varchar		
live_sip_channels	extension	varchar		
live_sip_channels	channel_data	varchar		
nanpa_prefix_exchanges_fast	ac_prefix	char	MUL	
nanpa_prefix_exchanges_fast	type	char		
nanpa_prefix_exchanges_master	areacode	char		
nanpa_prefix_exchanges_master	prefix	char		
nanpa_prefix_exchanges_master	source	char		
nanpa_prefix_exchanges_master	type	char		
nanpa_prefix_exchanges_master	tier	varchar		
nanpa_prefix_exchanges_master	postal_code	varchar		
nanpa_prefix_exchanges_master	new_areacode	char		
nanpa_prefix_exchanges_master	tzcode	varchar		
nanpa_prefix_exchanges_master	region	char		
nanpa_wired_to_wireless	phone	char	PRI	
nanpa_wireless_to_wired	phone	char	PRI	
park_log	uniqueid	varchar	MUL	
park_log	status	varchar		
park_log	channel	varchar		
park_log	channel_group	varchar		
park_log	server_ip	varchar		
park_log	parked_time	datetime	MUL	
park_log	grab_time	datetime		
park_log	hangup_time	datetime		
park_log	parked_sec	int		
park_log	talked_sec	int		
park_log	extension	varchar		
park_log	user	varchar		
park_log	lead_id	int	MUL	
park_log	campaign_id	varchar	MUL	
park_log_archive	uniqueid	varchar	MUL	
park_log_archive	status	varchar		
park_log_archive	channel	varchar		
park_log_archive	channel_group	varchar		
park_log_archive	server_ip	varchar		
park_log_archive	parked_time	datetime	MUL	
park_log_archive	grab_time	datetime		
park_log_archive	hangup_time	datetime		
park_log_archive	parked_sec	int		
park_log_archive	talked_sec	int		
park_log_archive	extension	varchar		
park_log_archive	user	varchar		
park_log_archive	lead_id	int	MUL	
park_log_archive	campaign_id	varchar	MUL	
parked_channels	channel	varchar		
parked_channels	server_ip	varchar		
parked_channels	channel_group	varchar		
parked_channels	extension	varchar		
parked_channels	parked_by	varchar		
parked_channels	parked_time	datetime		
parked_channels_recent	channel	varchar		
parked_channels_recent	server_ip	varchar		
parked_channels_recent	channel_group	varchar	MUL	
parked_channels_recent	park_end_time	datetime	MUL	
phone_favorites	extension	varchar		
phone_favorites	server_ip	varchar		
phone_favorites	extensions_list	text		
phones	extension	varchar	MUL	
phones	dialplan_number	varchar	MUL	
phones	voicemail_id	varchar	MUL	
phones	phone_ip	varchar		
phones	computer_ip	varchar		
phones	server_ip	varchar	MUL	
phones	login	varchar		
phones	pass	varchar		
phones	status	varchar		
phones	active	enum		
phones	phone_type	varchar		
phones	fullname	varchar		
phones	company	varchar		
phones	picture	varchar		
phones	messages	int		
