TABLE_NAME,COLUMN_NAME
recording_log_stereo,server_ip
recording_log_stereo,start_time
recording_log_stereo,end_time
recording_log_stereo,length_in_sec
recording_log_stereo,filename
recording_log_stereo,lead_id
recording_log_stereo,options
recording_log_stereo,processing_log
routing_initiated_recordings,recording_id
routing_initiated_recordings,filename
routing_initiated_recordings,launch_time
routing_initiated_recordings,lead_id
routing_initiated_recordings,vicidial_id
routing_initiated_recordings,user
routing_initiated_recordings,processed
server_live_drives,update_time
server_live_drives,server_ip
server_live_drives,drive_order
server_live_drives,drive_device
server_live_drives,read_sec
server_live_drives,write_sec
server_live_drives,kb_read_sec
server_live_drives,kb_write_sec
server_live_drives,util_pct
server_live_partitions,update_time
server_live_partitions,server_ip
server_live_partitions,partition_order
server_live_partitions,partition_path
server_live_partitions,partition_filesystem
server_live_partitions,use_pct
server_live_partitions,mb_used
server_live_partitions,mb_available
server_live_stats,update_time
server_live_stats,server_ip
server_live_stats,server_name
server_live_stats,cpu_count
server_live_stats,loadavg_1
server_live_stats,loadavg_5
server_live_stats,loadavg_15
server_live_stats,freeram
server_live_stats,usedram
server_live_stats,processes
server_live_stats,system_uptime
server_live_stats,cpu_user_percent
server_live_stats,cpu_sys_percent
server_live_stats,cpu_idle_percent
server_live_stats,cpu_iowait_percent
server_live_stats,cpu_vm_percent
server_live_stats,disk_reads
server_live_stats,disk_writes
server_live_stats,asterisk_channels_total
server_live_stats,asterisk_agents_total
server_live_stats,mysql_uptime
server_live_stats,mysql_queries_per_second
server_live_stats,mysql_connections
server_performance,start_time
server_performance,server_ip
server_performance,sysload
server_performance,freeram
server_performance,usedram
server_performance,processes
server_performance,channels_total
server_performance,trunks_total
server_performance,clients_total
server_performance,clients_zap
server_performance,clients_iax
server_performance,clients_local
server_performance,clients_sip
server_performance,live_recordings
server_performance,cpu_user_percent
server_performance,cpu_system_percent
server_performance,cpu_idle_percent
server_performance,disk_reads
server_performance,disk_writes
server_updater,server_ip
server_updater,last_update
